湖南频道,#genre#
湖南卫视,http://iptv.tvfix.org/hls/hunanhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel25/index.m3u8
湖南经视,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43024/index.m3u8
湖南娱乐,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43027/index.m3u8
湖南都市,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43028/index.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43094/index.m3u8
湖南电影,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43029/index.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43098/index.m3u8
湖南电视剧,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43030/index.m3u8
金鹰卡通,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43025/index.m3u8
湖南国际,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43022/index.m3u8
湖南教育,http://pull.hnedutv.com/live/hnedutv1206.m3u8?sub_m3u8=true&edge_slice=true#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43021/index.m3u8
湖南公共,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43080/index.m3u8
金鹰记实,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43087/index.m3u8

湖南(备用),#genre#
湖南卫视,http://iptv.tvfix.org/hls/hunanhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel25/index.m3u8
湖南经视,http://124.232.233.17:6610/000000001001/201600020002/1400.m3u8?IASHttpSessionId=SLB2046220190906022827233263&m3u8_level=2
湖南都市,http://124.232.233.17:6610/000000001001/201600020003/1400.m3u8?IASHttpSessionId=SLB2046220190906022827233263&m3u8_level=2
